param1_crossover,param1_mutation,param2_crossover,param2_mutation,pvalue
0.5,0.5,0.9,0.05,0.30535716621497466
0.5,0.5,0.9,0.1,2.3228534020690482e-14
0.5,0.5,0.9,0.2,4.3949480098561085e-23
0.5,0.5,0.9,0.3,8.602272423157487e-25
0.5,0.5,0.9,0.5,0.30015874550047617
0.5,0.5,1.0,0.01,2.531247928039797e-23
0.5,0.5,1.0,0.05,0.9671613198324167
0.5,0.5,1.0,0.1,1.1385368807570627e-13
0.5,0.5,1.0,0.2,1.7644508772129754e-20
0.5,0.5,1.0,0.3,1.1284361291533099e-23
0.5,0.5,1.0,0.5,0.2663793527560041
0.7,0.01,0.7,0.05,2.3835394124864935e-30
0.7,0.01,0.7,0.1,3.881242081652461e-34
0.7,0.01,0.7,0.2,4.201285086066302e-34
0.7,0.01,0.7,0.3,1.3391263083456382e-31
0.7,0.01,0.7,0.5,7.95268978797636e-23
0.7,0.01,0.9,0.01,0.32890446244227733
0.7,0.01,0.9,0.05,2.170511004259786e-31
0.7,0.01,0.9,0.1,1.5241587610340196e-33
0.7,0.01,0.9,0.2,6.273679237617789e-35
0.7,0.01,0.9,0.3,2.932407198528235e-32
0.7,0.01,0.9,0.5,1.9794413922367246e-21
0.7,0.01,1.0,0.01,0.3491692277838949
0.7,0.01,1.0,0.05,3.162038248581353e-29
0.7,0.01,1.0,0.1,3.4733621236555934e-34
0.7,0.01,1.0,0.2,5.8433200644899335e-34
0.7,0.01,1.0,0.3,1.0738052838862024e-31
0.7,0.01,1.0,0.5,2.0476352036407578e-22
0.7,0.05,0.7,0.1,1.3537391851002124e-17
0.7,0.05,0.7,0.2,5.7608712160604646e-11
0.7,0.05,0.7,0.3,2.5429568199308842e-05
0.7,0.05,0.7,0.5,0.13669668474056704
0.7,0.05,0.9,0.01,1.651071017589288e-29
0.7,0.05,0.9,0.05,0.7709233017775303
0.7,0.05,0.9,0.1,1.6391267963469558e-14
0.7,0.05,0.9,0.2,1.9599494935975805e-13
0.7,0.05,0.9,0.3,5.081602437938601e-05
0.7,0.05,0.9,0.5,0.07115466829918693
0.7,0.05,1.0,0.01,2.7698292577336472e-30
0.7,0.05,1.0,0.05,0.19155919087347206
0.7,0.05,1.0,0.1,1.3101963854317686e-13
0.7,0.05,1.0,0.2,3.421981763456251e-11
0.7,0.05,1.0,0.3,0.00017553897221230275
0.7,0.05,1.0,0.5,0.17024443413660995
0.7,0.1,0.7,0.2,3.47130496771391e-05
0.7,0.1,0.7,0.3,1.726255885629379e-07
0.7,0.1,0.7,0.5,4.6176937611705e-16
0.7,0.1,0.9,0.01,4.507350185709192e-34
0.7,0.1,0.9,0.05,7.81168967150976e-16
0.7,0.1,0.9,0.1,0.0323376877932552
